ch.cern.spark	spark-yarn_2.12	3.0.1	-	7aeee897ed1da0777fcb62468e918c26af19e468
com.liferay	com.liferay.sharing.notifications	3.0.1	-	966df87eb3badd4812b1366dbe7570d7554247a8
com.liferay	com.liferay.sharing.notifications	3.0.1	3.0.1-sources-commercial	86319c69c28be7dac4e7f579b92252b2266b61e9
com.liferay	com.liferay.sharing.notifications	3.0.10	-	2d9d156ebde099ccd7cf071899a611873b4ff874
com.liferay	com.liferay.sharing.notifications	3.0.10	3.0.10-sources-commercial	a7ff8cea2fd384f714197703925d8b3806b05b3c
com.liferay	com.liferay.sharing.notifications	3.0.11	-	6dabdca34d594da130a220cc1f15340bc0455a37
com.liferay	com.liferay.sharing.notifications	3.0.11	3.0.11-sources-commercial	d1228db894d306704ecff11223fb10c51b0c1a92
com.liferay	com.liferay.sharing.notifications	3.0.12	-	9639edfbc3f54415174d3947dd214e690e372f80
com.liferay	com.liferay.sharing.notifications	3.0.12	3.0.12-sources-commercial	7ba83297e8dd87f1b940a7a08a19815190532b48
com.liferay	com.liferay.sharing.notifications	3.0.13	-	a095444916e077b09c03c8249347a76284ce1dfd
com.liferay	com.liferay.sharing.notifications	3.0.13	3.0.13-sources-commercial	1b3e0dab833844d2208f408420a8b4df49ac3a62
com.liferay	com.liferay.sharing.notifications	3.0.14	-	a61aa6681ff1ae613aea56f9e870aafcecce8e05
com.liferay	com.liferay.sharing.notifications	3.0.14	3.0.14-sources-commercial	0d7811765222ecd75eef922ae9ef2c78ddf8b123
com.liferay	com.liferay.sharing.notifications	3.0.15	-	947adbaaceab22051a2142c868f655722c12ac64
com.liferay	com.liferay.sharing.notifications	3.0.15	3.0.15-sources-commercial	14b1d0ae3ec1de5bae66e5c46c96ab4383783d2c
com.liferay	com.liferay.sharing.notifications	3.0.16	-	8acf7d57088b3ba251097f5bed2cb2acc1ab1ceb
com.liferay	com.liferay.sharing.notifications	3.0.16	3.0.16-sources-commercial	a68b2c4b17ae1b59926eb475a6036a3e79605375
com.liferay	com.liferay.sharing.notifications	3.0.17	-	15c670886379ef241ad7b16bdee1c5764a4bb59c
com.liferay	com.liferay.sharing.notifications	3.0.17	3.0.17-sources-commercial	f898eb5f5059394b15f5bd9e8b4f32dbb347b613
com.liferay	com.liferay.sharing.notifications	3.0.18	-	cbc816d7c62a0fb430a7d39ad0c76b5e9d8792d1
com.liferay	com.liferay.sharing.notifications	3.0.18	3.0.18-sources-commercial	1e79211c15a7211b1948968705be364498022bd3
com.liferay	com.liferay.sharing.notifications	3.0.19	-	ae57196af4561dc21c85cbb2d3aeecedbef3c987
com.liferay	com.liferay.sharing.notifications	3.0.19	3.0.19-sources-commercial	af5addc7356e91a4bdc7a16ebee83b2ad63e4d51
com.liferay	com.liferay.sharing.notifications	3.0.2	-	a27bd7451e678beac842b1cf8c62e31119b65302
com.liferay	com.liferay.sharing.notifications	3.0.2	3.0.2-sources-commercial	eea5203a9c37b030d89d980a3cc5781793fe34bf
com.liferay	com.liferay.sharing.notifications	3.0.20	-	d28ec2315974641ed026cea3b7a25b234989d204
com.liferay	com.liferay.sharing.notifications	3.0.21	-	fe3735fec595e1d682f33d2a8873c952da963509
com.liferay	com.liferay.sharing.notifications	3.0.22	-	2da3b51b3496d2be85fc8b6ac10c67086847d14a
com.liferay	com.liferay.sharing.notifications	3.0.23	-	fa5696822303556507f9b1a189573b718ad18c85
com.liferay	com.liferay.sharing.notifications	3.0.24	-	e66ba9258e2ca3ead92fb78ecdfc73bc8b31409a
com.liferay	com.liferay.sharing.notifications	3.0.25	-	761633a9fa56c00680659309d9b157431e54de13
com.liferay	com.liferay.sharing.notifications	3.0.26	-	733659b66033aa9c7f86b385155ab72db69ac316
com.liferay	com.liferay.sharing.notifications	3.0.27	-	570b0130b9e2408b29b8ca07b2cabf296d6ee297
com.liferay	com.liferay.sharing.notifications	3.0.28	-	fa28e7435e001547d0c0359469f235878a6d17bc
com.liferay	com.liferay.sharing.notifications	3.0.3	-	ce66d7dde51c8802a5f23db42ac068a36563ebda
com.liferay	com.liferay.sharing.notifications	3.0.3	3.0.3-sources-commercial	c6a42859c6e14bbd4cf8aa80ea49853af255c64b
com.liferay	com.liferay.sharing.notifications	3.0.4	-	f3aa12ed5573c8e9d51ecadd0ac50993b727697e
com.liferay	com.liferay.sharing.notifications	3.0.4	3.0.4-sources-commercial	7c1cee9546a59a288d9460c458552baa199b34a4
com.liferay	com.liferay.sharing.notifications	3.0.5	-	c48c17716334bc52a2257c416b0394579e262fb9
com.liferay	com.liferay.sharing.notifications	3.0.5	3.0.5-sources-commercial	4189acdb5114d1806116641fda77f19a53278ece
com.liferay	com.liferay.sharing.notifications	3.0.6	-	60efa2a0c709793392bcbc18423c83a3a52485a0
com.liferay	com.liferay.sharing.notifications	3.0.6	3.0.6-sources-commercial	8c527d24b2d8d22770b6cc69694e506a4751bf51
com.liferay	com.liferay.sharing.notifications	3.0.7	-	24689263274b01955e79e770b267ebe72d0bf4f5
com.liferay	com.liferay.sharing.notifications	3.0.7	3.0.7-sources-commercial	7019f4b07996b09a3e780ef266bb2ff3dc0a1bcf
com.liferay	com.liferay.sharing.notifications	3.0.8	-	a7ba86c692bc5f99cc126620f90ca8eeb05d758e
com.liferay	com.liferay.sharing.notifications	3.0.8	3.0.8-sources-commercial	d4e2d85b0dcb4e77e3564803e7d1e9e92ae90dd1
com.liferay	com.liferay.sharing.notifications	3.0.9	-	711202a8655b76960d6333ae49e652dd635eee8f
com.liferay	com.liferay.sharing.notifications	3.0.9	3.0.9-sources-commercial	f222050c43ed49a23a8b3549030c388c99bd9709
com.lzhpo.nacos	nacos-trace-plugin	2.2.0	-	b3335fdd3146bae76f889bb0e6096108dcc186f0
com.malliina	util-actor_2.12	2.10.0	-	53490aaaae8bf5ac294ed3e032b55c918ad6bcca
com.malliina	util-actor_2.12	2.10.2	-	6bd057f0d279ed2115f750e1d6e5305880f2725c
com.malliina	util-actor_2.12	2.11.0	-	5e49e28aabe0f4cd63a940dde3458bb546b60b51
com.malliina	util-actor_2.12	2.6.0	-	fe2f9080faf8c8e3581b976a21d51fc44aa2ae63
com.malliina	util-actor_2.12	2.7.0	-	c38e3c476a7681c128ea690bafad327c9984b82a
com.malliina	util-actor_2.12	2.8.0	-	dce27a348c671828ed05fd1dfcf04ffe3a37a36c
com.malliina	util-actor_2.12	2.8.2	-	378057b81870b548ad600da09b6d0db534364284
com.malliina	util-actor_2.12	2.9.1	-	21ee3fad7fa080c0e0cac8f2d3d6ca2c777c49b7
com.osinka	mongo-scala-driver_2.8.0.RC6	0.8.1	-	8a2c74f7aa06c4135caa648f6afc8625962ec573
com.plainflow.analytics.java	analytics-cli	2.0.0-p1	-	ffdf0a59609d87bd4e3702114ddb968f40b620a3
com.plainflow.analytics.java	analytics-cli	2.0.0-p1	2.0.0-p1-jar-with-dependencies	dbd3258bc1c03dd9d03488198aae2b94bdf2d2bd
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0	-	8041d613621f243ca95a1c0f66926dd2ec3a8f19
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M10	-	4d245445c44e0c442a5645c0de6a9eefe4cf840a
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M11	-	3b52689cc361356b029bbf90998dbb12ce180d2d
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M12	-	1717d65635b0ee905f2782ff68c1fbb976c297ab
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M13	-	60746da5f1cc9f3dcf8679a2df3ad79cac39576a
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M14	-	5b8c85ae5d3198e3ddecd911b3e5a9c225bdf918
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M15	-	d898d10a64a6bae4edbd248361b2c6dfb5f3f390
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M16	-	0b8cd1e010c8c296a798b5f41934da6a600aca41
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.0-M9	-	e3af78c17c6c4f0f3ca55173bec6bc0bb052dca4
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.1	-	972c79426bffada4f27b9ebabb447ddbab76ab6e
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.3	-	106e6d10c6bdf45330b0e699c5c2064e7502d9c4
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.19.4	-	5375c3befd6de76b93798dfb80e433829c7f39ae
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0	-	38c63c78f7f007a25c82022d21c0dbc6cd4091a3
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M10	-	05a95a066393ab61b1181dadc72f29f6039dd1b5
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M2	-	08a6550b3a581f9a7b2329c20ce58367de5561d1
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M3	-	1fb8fb155ea402f11d5a48ee804a70fd60eed2ba
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M4	-	b250c8a1aa816d71e490ae65be64a2a0d0ecee3b
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M5	-	ac0ade0d36e3358c2303ea4a26639e9c4f33f588
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M6	-	8482d3f6dc49f3ea0f9c7000471ed4fdaf7a1481
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M7	-	f8a0e68c40a014b4bbfa3b7621c6f49204b62895
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M8	-	6ab17c3bd707408298e8e1ccd616eba5c4267d4a
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.0-M9	-	806af0938b4183d9268d74f88e459670483789cf
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.1	-	ffc6ec321682486d8408638c017d7c9e5f89097b
com.softwaremill.sttp.tapir	tapir-netty-server_3	0.20.2	-	43adf1a004ed2375f4ff58ad4d3320604b782b8b
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0	-	2df3f7c6478fe8e5d7687a7e4d5b6f67702edfab
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M1	-	5c2a634e774a4891157374191c279a456e4d1e3e
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M2	-	0813b4b582320791c9f4ac3e4b036a261d750bca
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M3	-	d55299874aab686c6d9a8840fb27adb24a31029a
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M4	-	436cc722fbfed97c8a712a0254377e47d642f0bd
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M5	-	86ab9fd0c4f5e09bd0716fe351412295c23868dc
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M6	-	cea53703b9d7a2fcca9711dd835542fff5c18f88
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M7	-	f3045662b6af5a02fced0a7b35bbf19fb00085c5
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M8	-	4349e9a1c2cccac3833720ed72f3fe65fa4fdb3b
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-M9	-	84ad8ca3e2a87cd6dca183769c1fcc88ee8468d4
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-RC1	-	8d05874ab73eee31c0c9805fca6a68aaae52fa48
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-RC2	-	decd1b939523090a4acbbb0263c7f023b7b88657
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.0-RC3	-	29ad9fe09aeb6f336dbdcab4d98b7a299ce5c816
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.1	-	a15512cad7c31dd5e299d0d0d92288fbc0106b7c
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.2	-	51c21aee3b2ab41e4fc7ed6e6abd9650dd9af20c
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.3	-	f5c60e1aa1732ce5d7b077e314447fd7e337758c
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.4	-	2911c1b1704f6d2692debfeb99cc7b7c644b1be4
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.5	-	15dd1b0cdb23825171011f46da440159e64c7f8a
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.0.6	-	d25b0ac141c98aadad78d42fa9b67e4e6a645609
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.1.0	-	93ec3fd74d49b0b83399229d2ee97ca728da1e1f
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.1.1	-	f2abb441fe5af8d5ce5bcc61e75536a3e9ccedde
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.1.2	-	d6b1b8a5eb053ae542fbce8ec79c4cd6f6eee445
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.1.3	-	2c0eaa0e3e948ea79bc8ea465b8211765628ac23
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.1.4	-	28a5a78d5799931ee03eafa3156f97f2761d16f6
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.0	-	361244cfe9241ba542e722034fcd294db53756a3
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.10	-	6384b026b3df7ede62a921dbddcaab3f2c7c4527
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.11	-	3ef5bec6c9b2461a805c61ab0c9c4cddf72db10d
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.12	-	2aaba60c6d0d17ed6e60d270cbcefaa5dd6dce11
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.13	-	f89fb5ce5b198901f4bcb2f091d78617751876cd
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.14	-	39e30ffe046d49340f4f6a0547a80f516a617366
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.15	-	09ca8444fd939071cc0a1141cca238c0e89a9945
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.3	-	54f8e355efda3922ca2e448c946244c0550d5002
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.4	-	00eea14e5c8574303f12643c4944ae44e76afaf9
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.5	-	20b80aa21aa12b23b57357f4112f27145ecd2fec
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.6	-	87c7fdacaa6b35955224a6cb737b0f30b04bda04
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.7	-	ce9b709f2f48db2c0490f7b5293472e4ea803404
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.8	-	74d2d1fc2be48a8e0cdfe449eb2c8bcf1eef86b1
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.10.9	-	b83b1024bef0b46791c20753b12211614cdc77d9
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.0	-	1fe1b0c6129c7be809fa7544d84a742bebd25c86
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.1	-	466f1d3d42a3cf453a9b40a801edd2d52575ccbd
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.10	-	232e949f8e132a4e0a7c5d1bd71cf0c26604ca7f
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.11	-	093c660b309d58d59be9d0149e3ae2f6a3d482f1
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.12	-	29e38f2fcea5da6972f2fe441af4836328dc2ba0
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.13	-	1ebf536e78a83cb808d106a06053ba113101e5ce
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.14	-	ea5c036343ab8976b8fba6d8b4bc1f043d339b96
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.15	-	16f6b85e08c1124d322016604362404a9c961dd5
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.16	-	6f9896aff7754cc28a3eefff860f8fbb3f882042
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.17	-	c0202cae8d11d7195d549f7ec0f667a0fbffbfc9
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.18	-	5eb78fe47488bc1f0e7f8321d71649e13d6541ba
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.19	-	1176dfca1b579067930d540d8f27bbdc8fc023be
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.2	-	cced1ff37818d8ad36a12165c82d5b93e930488a
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.20	-	4b38b6ee8c3bf382e44743b35811126c79932e13
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.21	-	b2861bf62225cb53b492012d2448bb70ad39aadc
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.22	-	619b021d920a00d239e226ddef9ce3952227d902
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.23	-	7b6b7700630903f44259ead69f5aeb45c3f09cd8
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.24	-	cc38e1591183a7b67ce70c2f4bcb5a354cfd44eb
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.25	-	770be8425c097f82d75560eb3942010db4dbe4d0
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.3	-	30fa1ee8b5e57c37d2c81d50709ae91dc468b325
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.4	-	7157fe3ba717321ffd11cf6b8e2bdf8788dd3d84
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.5	-	21881ca50ed240f9aebba7080c1da6fcba0fe3f6
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.6	-	7a75a0a4da71c9b16f9de43f9ccc576ce5b15ff8
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.7	-	f3eae17e607999436989922a4775194c5167265c
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.8	-	3a7f0d598cc63e4a6e13b5fb41e843aa81a5b5ee
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.11.9	-	676da50a3e56183aab38733fd7b421cf73a7e5e3
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.0	-	0549e803cb36f92fb52fd56428dcdce4c38a4a19
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.1	-	cece54b9889e41f6c4c66550883006ee43ed21a4
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.10	-	0abdbffab7065551f95774a86870c6b5b7ac613e
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.11	-	e972a3b5c49fbb6ac6eaf387206778bed8f9ad9a
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.12	-	4dc5295ed5963e5135b0f572b78f0467c5c7e390
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.13	-	790040f8cc327bab0ec2952bef4463864f1ef167
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.2	-	e02731461cca358895976435fbbc7c611f03737f
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.3	-	61fe4cc50f2cc7230cfefc53527ce7403eb9324d
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.4	-	e171d24f40501e946ac9ba4639e50b7022ed836b
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.5	-	5f0ca66dfc3ffe33511926b2d62c2140641d9f70
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.6	-	81abed99c55a938f47bd64c7f043195b8d333c10
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.7	-	20d7a2a53e157a45efcce8872c5a731c6c2b1c09
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.8	-	c31c71bc6c48ecc4511a325c0d4ee33108120d2d
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.2.9	-	d330d58800e97c255d23c4cc86d491d749733476
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.3.0	-	1b7a2c68da6c4ac79d918f81452c2f4c36097110
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.4.0	-	a389ac4483d6fca77f0488703bd2e82d6f8fc058
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.5.0	-	2f8cf289f86f777ec354f554b0ff5965ef5b3945
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.5.1	-	90e7e282170f6732f58e260ba1e7b92c4f83e673
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.5.4	-	4a574262e3ec24e2557ec352c2409859276dcf13
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.5.5	-	b6869f9f65d482bdb99a7e0cab07e80c91b304b3
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.6.0	-	d521d45e4b54b8a672cf8118c5475dac6762f02d
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.6.1	-	efee0271cd93efc18a236e6c05a088a51621450b
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.6.2	-	af8eaebc4c8c7a6c5bb3631599f6f66373cd3720
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.6.3	-	ffcb39212f4131eadd8019580ff2d0f9c6419dfd
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.6.4	-	63fe0c454c89f2df36cbe7a0f85913726c4209a6
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.0	-	28fbb209da27ee805cac96851d8dd09e4fd6e3f7
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.1	-	d468101898b0f773c2fa0204946e0dbc62a25761
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.2	-	9d4b1ec55a785d70592f2ac2df6394e6695c4099
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.3	-	21dbc3379f224344832b731076ced9481c8e9961
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.4	-	52390cd45817e37beae5b02fd818f2f893e2c356
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.5	-	9a1f57d896218f05236a90c98971b8fbb03f7c15
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.7.6	-	b3a0a7678afb63aa4dea3d1912d2afa4b4818f18
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.0	-	1a0b4bc35c500f5160da93ced676dbee50ff77c0
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.1	-	f6ebabd7a7b14844f7576618b6981519ed56cb6c
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.2	-	d5b041825d952442c72bdebeae4d41e980d14ed4
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.3	-	a8713a7f4769ac4ffb8f5b5b6092d3495353615b
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.4	-	f4732b34ac4abe13bc6e0065fbd8504f10ad1edc
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.8.5	-	eaa2b76fe5162af71c5f796ac212932e0e806ad3
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.0	-	3cd681e6acc44ed78982c0e996480f0f55cbd057
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.1	-	e757d17e2a1c04bfeb28aa29f71cf6d6fe7f4b7e
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.10	-	bf2fb674c5934717915e93dba360b43486de4315
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.11	-	f82b4c53b0c4c4845b62830bebee06977cc39e8f
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.2	-	5bcb2fa8fbada9e5c5cba1cc69f57e263cb219ba
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.3	-	9c6f9d3ab04d35dd2dcf3ac23ed8c7558ba76883
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.4	-	4e7689bc1aab20bfdcc7daf4d6ae0c5f409642b6
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.5	-	72177d9abf1df488dc84e0efa4d047f99c6e0814
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.6	-	e7dfa4e9ecc6e1368b70d1ab490d9ba7594c7a68
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.7	-	380b7b622393bd031a2d39a00f5d27b8093fefa4
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.8	-	fb298516ebcb7a253f39b572c10037868afbcbeb
com.softwaremill.sttp.tapir	tapir-netty-server_3	1.9.9	-	677211d1eb9f66b6039824e7202c841d33df1045
com.thoughtworks.deeplearning	nd4j-linux-ppc64le-cuda-7_5	0.8.0	-	5e0bff8f096fa7dd115e07edeb369d339eccb315
com.thoughtworks.deeplearning	nd4j-linux-ppc64le-cuda-7_5	1.0.0-RC9	-	9739ec4436eace8e87ea35da270708fab64ee93d
com.twitter	scrooge-maven-plugin_2.10	3.1.0	-	300cb8de6092f0e9ffddadac27a0f212b36b4847
com.twitter	scrooge-maven-plugin_2.10	3.1.1	-	5f0ae0148cc67bf4f82ce88b830708762949c26e
com.twitter	scrooge-maven-plugin_2.10	3.1.2	-	9420c488af64f596d69550015c46da3a7fa668b2
data.com.aoindustries	ao-credit-cards-api-book	1.1.0	-	f68dc576e25284354e5ea689a724065409ee2687
data.com.jpomykala	jooq-random-record	0.0.1	-	78f9ae4e26a22723db1443165b4c548150dd107e
data.com.yahoo.vespa	configgen	6.327.49	-	eafa6f6dd8248cc981cf28ff14ae3e95e96c8b14
data.com.yahoo.vespa	configgen	6.328.65	-	70b787a44ae2e4f6d52432d6d53ddea67f78f1f4
data.com.yahoo.vespa	configgen	6.329.64	-	d9fffff3d7ebdf527f33b489f6909b333c2d18a9
data.com.yahoo.vespa	configgen	6.330.51	-	e973ae4ad992f21addcd76aef15dcc3f1cf530bf
data.com.yahoo.vespa	configgen	7.11.13	-	5f56481d27e0b07addd414bdf8e8e1f4b6371bf3
data.com.yahoo.vespa	configgen	7.12.13	-	77d666711aac5a5e20b8e6b176428bfe94b3f66e
data.com.yahoo.vespa	configgen	7.13.75	-	90dbcc0f71298420354a41cbf7d837fd264b5348
data.com.yahoo.vespa	configgen	7.14.17	-	88c922c0de76e8543a2e4b516597aa0efef814c1
data.com.yahoo.vespa	configgen	7.15.21	-	d797fb28bb6e3f1acc2f11d8d67318a29b3d331d
data.com.yahoo.vespa	configgen	7.16.38	-	345cf96d888a591abbfced7ae25de3408320c5e9
data.com.yahoo.vespa	configgen	7.17.1	-	0917b1c75631fa5cc1ae0aaf3731bd60d37eda00
data.com.yahoo.vespa	configgen	7.18.17	-	5d2f2112b0afc4118c5c9147c3edd32bcac66109
data.com.yahoo.vespa	configgen	7.20.129	-	30fe98826191b63ddefa1551b85771b9a1fbf25a
data.com.yahoo.vespa	configgen	7.21.18	-	a1282e3f9ab25deb70d2faf94f09ed0be1c10755
data.com.yahoo.vespa	configgen	7.22.18	-	0d01fa82af2e9f901e2b7d3b908f20cf560a9bfc
data.com.yahoo.vespa	configgen	7.23.20	-	a7102fb739b3d147fc2ed7847a5d08238d646fce
data.com.yahoo.vespa	configgen	7.24.27	-	fee650d470270cdcfd27da3d63e97a65407e3bcc
data.com.yahoo.vespa	configgen	7.25.26	-	e9170d32ed13f40dbe2b85d4158f347029a8f099
data.com.yahoo.vespa	configgen	7.26.19	-	f3c2886e46ffc021912163852224c0b9ed8d6d06
data.com.yahoo.vespa	configgen	7.27.24	-	79501710aae44da99fad825dfe4381b410dd030f
